# tag,k,op_or_B,dim_or_shots,metric1,metric2
single,10,H,1024,862.7,1.187
single,10,T,1024,747.9,0.685
single,10,CZ,1024,479.8,0.534
single,10,CNOT,1024,580.5,0.882
single,10,U2,1024,1539.1,0.665
single,10,U4,1024,2705.4,0.379
single,10,EXPAND,1024,864.8,2.368
single,10,EXPAND_T,1024,591.0,3.465
single,10,MEAS_DIAG,1024,815.3,2.512
single,10,MEAS_INTERFERE,1024,960.0,2.133
single,11,H,2048,1553.5,1.318
single,11,T,2048,1261.3,0.812
single,11,CZ,2048,723.7,0.707
single,11,CNOT,2048,936.4,1.094
single,11,U2,2048,2845.4,0.720
single,11,U4,2048,5099.4,0.402
single,11,EXPAND,2048,1497.9,2.734
single,11,EXPAND_T,2048,2577.5,1.589
single,11,MEAS_DIAG,2048,1201.8,3.408
single,11,MEAS_INTERFERE,2048,1529.9,2.677
single,12,H,4096,2702.6,1.516
single,12,T,4096,2307.9,0.887
single,12,CZ,4096,1444.7,0.709
single,12,CNOT,4096,1663.2,1.231
single,12,U2,4096,5370.8,0.763
single,12,U4,4096,10087.1,0.406
single,12,EXPAND,4096,2836.0,2.889
single,12,EXPAND_T,4096,4949.2,1.655
single,12,MEAS_DIAG,4096,2717.6,3.014
single,12,MEAS_INTERFERE,4096,3005.1,2.726
single,13,H,8192,5159.2,1.588
single,13,T,8192,4369.6,0.937
single,13,CZ,8192,2714.2,0.755
single,13,CNOT,8192,3041.8,1.347
single,13,U2,8192,10619.2,0.771
single,13,U4,8192,19958.7,0.410
single,13,EXPAND,8192,5297.2,3.093
single,13,EXPAND_T,8192,9477.6,1.729
single,13,MEAS_DIAG,8192,4898.6,3.345
single,13,MEAS_INTERFERE,8192,5675.7,2.887
single,14,H,16384,10499.8,1.560
single,14,T,16384,8468.2,0.967
single,14,CZ,16384,5192.1,0.789
single,14,CNOT,16384,5889.1,1.391
single,14,U2,16384,21058.1,0.778
single,14,U4,16384,39487.3,0.415
single,14,EXPAND,16384,10301.9,3.181
single,14,EXPAND_T,16384,18471.1,1.774
single,14,MEAS_DIAG,16384,8778.7,3.733
single,14,MEAS_INTERFERE,16384,10632.0,3.082
single,15,H,32768,20540.5,1.595
single,15,T,32768,16426.7,0.997
single,15,CZ,32768,10092.2,0.812
single,15,CNOT,32768,11484.3,1.427
single,15,U2,32768,40368.3,0.812
single,15,U4,32768,78001.1,0.420
single,15,EXPAND,32768,20136.9,3.255
single,15,EXPAND_T,32768,36954.5,1.773
single,15,MEAS_DIAG,32768,17252.3,3.799
single,15,MEAS_INTERFERE,32768,20705.9,3.165
single,16,H,65536,38655.8,1.695
single,16,T,65536,32947.9,0.995
single,16,CZ,65536,20263.5,0.809
single,16,CNOT,65536,22681.2,1.445
single,16,U2,65536,83257.4,0.787
single,16,U4,65536,158013.7,0.415
single,16,EXPAND,65536,42490.6,3.085
single,16,EXPAND_T,65536,83261.0,1.574
single,16,MEAS_DIAG,65536,34333.3,3.818
single,16,MEAS_INTERFERE,65536,41284.4,3.175
single,17,H,131072,86473.2,1.516
single,17,T,131072,68137.1,0.962
single,17,CZ,131072,46530.0,0.704
single,17,CNOT,131072,53714.1,1.220
single,17,U2,131072,167348.5,0.783
single,17,U4,131072,319850.1,0.410
single,17,EXPAND,131072,144486.6,1.814
single,17,EXPAND_T,131072,229192.5,1.144
single,17,MEAS_DIAG,131072,80670.3,3.250
single,17,MEAS_INTERFERE,131072,89055.6,2.944
single,18,H,262144,27305.9,9.600
single,18,T,262144,56687.4,2.312
single,18,CZ,262144,148796.0,0.440
single,18,CNOT,262144,3824097.6,0.034
single,18,U2,262144,6754280.4,0.039
single,18,U4,262144,7907643.9,0.033
single,18,EXPAND,262144,7375030.5,0.071
single,18,EXPAND_T,262144,6874617.0,0.076
single,18,MEAS_DIAG,262144,14251320.8,0.037
single,18,MEAS_INTERFERE,262144,14750203.3,0.036
single,19,H,524288,6375368.4,0.082
single,19,T,524288,7875220.6,0.033
single,19,CZ,524288,7829312.7,0.017
single,19,CNOT,524288,28386.7,9.235
single,19,U2,524288,92017.2,5.698
single,19,U4,524288,217396.7,2.412
single,19,EXPAND,524288,463021.9,2.265
single,19,EXPAND_T,524288,1208032.2,0.868
single,19,MEAS_DIAG,524288,1434058.2,0.731
single,19,MEAS_INTERFERE,524288,131664.7,7.964
single,20,H,1048576,735205.3,1.426
single,20,T,1048576,485138.9,1.081
single,20,CZ,1048576,259126.5,1.012
single,20,CNOT,1048576,1809718.3,0.290
single,20,U2,1048576,2194073.5,0.478
single,20,U4,1048576,3789958.1,0.277
single,20,EXPAND,1048576,5597485.7,0.375
single,20,EXPAND_T,1048576,7250244.1,0.289
single,20,MEAS_DIAG,1048576,14749701.0,0.142
single,20,MEAS_INTERFERE,1048576,14249744.9,0.147
single,21,H,2097152,8246928.0,0.254
single,21,T,2097152,6999633.8,0.150
single,21,CZ,2097152,7250790.4,0.072
single,21,CNOT,2097152,6877031.9,0.152
single,21,U2,2097152,7374870.9,0.284
single,21,U4,2097152,7510685.1,0.279
single,21,EXPAND,2097152,7431584.5,0.564
single,21,EXPAND_T,2097152,6756000.8,0.621
single,21,MEAS_DIAG,2097152,13750534.8,0.305
single,21,MEAS_INTERFERE,2097152,13315009.8,0.315
single,22,H,4194304,7515499.9,0.558
single,22,T,4194304,7489035.1,0.280
single,22,CZ,4194304,6561567.7,0.160
single,22,CNOT,4194304,6784713.6,0.309
single,22,U2,4194304,7043903.6,0.595
single,22,U4,4194304,7421020.2,0.565
single,22,EXPAND,4194304,6874001.4,1.220
single,22,EXPAND_T,4194304,7495274.8,1.119
single,22,MEAS_DIAG,4194304,12975436.5,0.646
single,22,MEAS_INTERFERE,4194304,13126857.8,0.639
single,23,H,8388608,7875992.6,1.065
single,23,T,8388608,7189728.1,0.583
single,23,CZ,8388608,7632985.6,0.275
single,23,CNOT,8388608,7003079.6,0.599
single,23,U2,8388608,8133036.3,1.031
single,23,U4,8388608,8386899.4,1.000
single,23,EXPAND,8388608,7246936.8,2.315
single,23,EXPAND_T,8388608,6494236.8,2.583
single,23,MEAS_DIAG,8388608,8228278.1,2.039
single,23,MEAS_INTERFERE,8388608,7174110.1,2.339
single,24,H,16777216,3028125.4,5.540
single,24,T,16777216,1315293.0,6.378
single,24,CZ,16777216,2920318.8,1.436
single,24,CNOT,16777216,2823013.7,2.972
single,24,U2,16777216,2984047.2,5.622
single,24,U4,16777216,5185556.1,3.235
single,24,EXPAND,16777216,6129242.6,5.474
single,24,EXPAND_T,16777216,6460834.4,5.194
single,24,MEAS_DIAG,16777216,4228657.0,7.935
single,24,MEAS_INTERFERE,16777216,4132684.5,8.119
single,25,H,33554432,6569388.1,5.108
single,25,T,33554432,6553688.0,2.560
single,25,CZ,33554432,13043000.0,0.643
single,25,CNOT,33554432,12660298.4,1.325
single,25,U2,33554432,13720220.0,2.446
single,25,U4,33554432,17114193.0,1.961
single,25,EXPAND,33554432,15415946.8,4.353
single,25,EXPAND_T,33554432,22839809.0,2.938
single,25,MEAS_DIAG,33554432,15245207.0,4.402
single,25,MEAS_INTERFERE,33554432,19502357.0,3.441
single,26,H,67108864,13674824.8,4.907
single,26,T,67108864,6986689.9,4.803
single,26,CZ,67108864,15617285.0,1.074
single,26,CNOT,67108864,14251858.2,2.354
single,26,U2,67108864,13940873.3,4.814
single,26,U4,67108864,20856210.0,3.218
single,26,EXPAND,67108864,23569779.8,5.694
single,26,EXPAND_T,67108864,31864696.0,4.212
